session_page_id,location_id,shared,dummy_mobile,dummy_desktop,shareability,nugget_pvs,prev_subscribe,prev_share_count,prev_pv_count,prev_sessions,avg_pvs_per_prev_session,delta_created,cur_pv_count
d7e8825c7723ed3f33ea97f91f04b0e1,55e614ef34666300198f0400,no_shared,1,0,0.015264586,5896,0,10,268,215,1.246511628,9051,2
e095630d39becaba1881819136a533bc,560aacc8656530000d970200,shared,1,0,0.014479873,135015,0,0,26,24,1.083333333,8144,1
bf002391104f3741e3d41077c307daad,539735a9b1a132c5e900003c,shared,1,0,0.022606649,404527,0,1,2,2,1,8731,2
9c2ccb2eacb6fbf98b01196bf9808a2d,55faf2b662646300250a0500,no_shared,0,0,0.005481533,434550,0,0,150,137,1.094890511,9040,1
e9ab816ad8160faa27d0a33bc8e03631,55e70a95313433000d790000,no_shared,1,0,0.012084773,66861,0,1,6,4,1.5,3006,1
75fd34542314a147d5e9cd477792a8ef,560af0106565306771250000,shared,1,0,0.010541416,170091,0,0,1,1,1,197,1
1c7631209c96edbcca9757638312925b,5609560f3432620019080100,shared,1,0,0.027729203,12009,0,0,0,0,0,0,1
cd9afb4da6baa91472bfb074ac940d7b,546b6968f731989c4e00002c,no_shared,0,1,0.006921457,3323,0,0,0,0,0,0,1
956b494b37e75e357103848ece08329d,55ca4672363361002a570000,no_shared,1,0,0.015481654,210701,0,0,1,1,1,244,1
fa5421dbfb926da54bde4fb006e086f8,560aaa6533316242b1e20200,shared,1,0,0.017013172,1000754,0,1,31,27,1.148148148,3094,1
5d8ec89b417c58be4444223b2975bbb3,560aaa6533316242b1e20200,no_shared,1,0,0.017013172,1000754,0,1,1,1,1,10,1
2f757ca21cfb3baed56da397a67717ca,560b09053034370aa50a0000,no_shared,0,1,0.005903781,39805,0,8,6743,3203,2.105213862,25945,1
36ad5d3297014dd871fd95e38b84c472,560aaa6533316242b1e20200,no_shared,1,0,0.017013172,1000754,0,0,2,2,1,340,1
6409d5a1df9c29926978a5e177a71e64,560aaa6533316242b1e20200,shared,1,0,0.017013172,1000754,0,0,1,1,1,351,1
7779e16dad2fbfec9d2ab7cda8b8690b,560d56576235620025530300,shared,0,1,0.010194744,85240,0,1,5,5,1,590,1
77bef54ea11fc45e8086b07d89ad21b7,559e8f49326364000c050000,shared,1,0,0.009505703,36294,0,0,40,36,1.111111111,1320,1
3902f897470c2fd13e88278dc47a4215,560d6e3a62353100194d0000,no_shared,1,0,0.019953135,14083,0,0,6,6,1,1222,1
0bcd28631470b682a106df2d5c8d5c19,53feceeb19cca2d9c5000028,shared,1,0,0.020390939,386250,0,0,2,2,1,988,2
